price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_range,valuation_note,valuation_lane
45.0,5.2,50.2,2026-03-16,bin,True,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
13.5,6.0,19.5,2026-03-16,auction,False,,,,Michael Jordan 1991 Upper Deck #SP1 Insert,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
18.0,1.15,19.15,2026-03-16,bin,True,,,,1991 Upper Deck Baseball - Michael Jordan #SP1 White Sox ...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.0,0.0,19.0,2026-03-16,bin,False,,,,1991 Upper Deck - Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
18.5,4.99,23.49,2026-03-16,auction,False,,,,1991 Upper Deck Michael Jordan Inserts #SP1 White Sox,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
30.0,4.99,34.99,2026-03-16,auction,False,,,,1991 Upper Deck Michael Jordan Inserts RC Rookie #SP1 Whi...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
16.05,4.99,21.04,2026-03-16,auction,False,,,,1991 Upper Deck Michael Jordan Inserts RC Rookie #SP1 Whi...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
23.5,4.99,28.49,2026-03-16,auction,False,,,,1991 Upper Deck Michael Jordan Inserts RC Rookie #SP1 Whi...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
22.0,5.52,27.52,2026-03-16,bin,True,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,5.2,25.19,2026-03-16,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.0,5.29,24.29,2026-03-16,bin,False,,,,Upper Deck 1991 Michael Jordan SP1 Short Print Chicago Wh...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.0,4.25,24.25,2026-03-16,bin,False,,,,1991 Upper Deck #SP1 Michael Jordan Baseball White Sox!,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
15.5,5.52,21.02,2026-03-16,auction,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
